Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Budidaya Ikan Lele,7.45,17.78,1,2012,?pm=pZ7EKvC+Tuocuf6dTKIuSA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 7.450,00 Juta","Rp. 17.780,00 Juta",12 %/Tahun,"Rp. 10,00 Juta","Rp. 12,00 Juta",3
Budidaya Ikan Nila Merah,1.17,9.51,4,2012,?pm=D8nAdAm02v8eN47eBX0k2w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %",Sedang,"Rp. 1.170,00 Juta","Rp. 9.510,00 Juta",5 %/Tahun,"Rp. 7,00 Juta","Rp. 85,00 Juta",6
Budidaya Ikan Nila Merah,1.01,9.51,4,2012,?pm=vs11y9iCH5G0mOnDe2rm1w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %",Sedang,"Rp. 1.010,00 Juta","Rp. 9.510,00 Juta",15 %/Tahun,"Rp. 0,00 Juta","Rp. 66,00 Juta",5
Budidaya Jamur,56,"135,6",5,2009,?pm=8w+b8plnb1vWkpLmR9DhGw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %",Sedang,"Rp. 56,00 Juta","Rp. 135,60 Juta",25 %/Tahun,"Rp. 0,00 Juta","Rp. 52,00 Juta",6
Budidaya Jamur Merang,16.250.000,"33,6",1,2011,?pm=DrepRHj0A58XglmL5scbrg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %",Sedang,"Rp. 16.250.000,00 Juta","Rp. 33,60 Juta",50 %/Tahun,"Rp. 0,00 Juta","Rp. 110,00 Juta",7
Budidaya Jamur Tiram,8.040.000,"15,12",0,2011,?pm=o8zb2v2AqR/1lRRr3Y3wMg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 8.040.000,00 Juta","Rp. 15,12 Juta",75 %/Tahun,"Rp. 4,25 Juta","Rp. 36,00 Juta",5
Budidaya Lembu,23,340,1,2011,?pm=typ0xkHp9xqZ3O3gMwR82A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 23,00 Juta","Rp. 340,00 Juta",30 %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",4
Buduidaya Jamur Dan Pembibitan ,"78,5",198,5,2014,?pm=QdU/t35Sy+kQHz1u9asOBw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 78,50 Juta","Rp. 198,00 Juta",- %/Tahun,"Rp. 9,00 Juta","Rp. 107,00 Juta",7
Bunga,"25,9",100,2,2011,?pm=uOnkcVq01om0o4Et6d4LQg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 25,90 Juta","Rp. 100,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 14,00 Juta",5
Cabe Kecil,"65,35","44,5",4,2014,?pm=3Fie1S2thQxGhb/fQw8dhA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 65,35 Juta","Rp. 44,50 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 50,00 Juta",3
DAGANG IKAN,"75,5",36,3,2010,?pm=umK25rpEjrpZErUrCQUkXQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 75,50 Juta","Rp. 36,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 75,00 Juta",5
Depot Air,0,0,2,2012,?pm=A/1W9+3/Un/7PBlPGl9htg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 0,00 Juta","Rp. 0,00 Juta",0 %/Tahun,"Rp. 10,00 Juta","Rp. 12,00 Juta",8
FLOWER,110,280,3,2012,?pm=vPjtjkJ0I+nHQuHsLiuMWg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Usaha Dagang (UD),3,Retail,"Tidak Ada   0,00 %","Tidak Ada   100,00 %",Rendah,"Rp. 110,00 Juta","Rp. 280,00 Juta",10 %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",3
Giling Bumbu,17,200,2,2011,?pm=EsQ/31iyX2bM0iXOhJo7IA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 17,00 Juta","Rp. 200,00 Juta",15 %/Tahun,"Rp. 5,00 Juta","Rp. 0,00 Juta",3
HORTIKULTURA,1.492,360,7,2011,?pm=DRwjNg5eAaaujp/6u+wnbg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,7,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %",Sedang,"Rp. 1.492,00 Juta","Rp. 360,00 Juta",70 %/Tahun,"Rp. 0,00 Juta","Rp. 940,00 Juta",8
Ikan Lele,"372,5",70,3,2014,?pm=X7co7tw962rX09FYTGFZww==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 372,50 Juta","Rp. 70,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 350,00 Juta",3
Ikan Mas,98,"43,5",2,2012,?pm=wvikceCfJvbg7F0kGqPtEA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 98,00 Juta","Rp. 43,50 Juta",10 %/Tahun,"Rp. 6,00 Juta","Rp. 50,00 Juta",3
Industri,460,"518,4",3,2016,?pm=JPw1+3kRXXI88dULWxNPjA==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 460,00 Juta","Rp. 518,40 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 558,00 Juta",8
JAGUNG,5.300.000,68,1,2013,?pm=Vu6vV+6S+xTKa2tsUr+cqg==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 5.300.000,00 Juta","Rp. 68.000,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 5,00 Juta",2
Jamur Tiram,"14,47","16,2",4,2011,?pm=wksi8V8nGXQTN/Hg+GzH4w==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 14,47 Juta","Rp. 16,20 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 11,00 Juta",5
Jamur Tiram Putih,72,49,5,2013,?pm=MSC0/kuY7lJToJyzDGlQ+A==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 72,00 Juta","Rp. 49,00 Juta",15 %/Tahun,"Rp. 10,00 Juta","Rp. 12,00 Juta",7
"Jelly "" Lidah Buaya ""","122,81","69,12",3,2009,?pm=YURfZcuBCQapHigoKdrS0w==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Rendah,"Rp. 122,81 Juta","Rp. 69,12 Juta",15 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",-
JUAL AYAM BANGKOK,26,51,3,2013,?pm=28IhvfB6ICZ6+UpkZwbbAg==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %",Rendah,"Rp. 26,00 Juta","Rp. 51,00 Juta",10 %/Tahun,"Rp. 9,00 Juta","Rp. 20,00 Juta",3
JUAL BELI KOMODITI HASIL BUMI ,214,3.432,7,2012,?pm=0HPdoDLRoxq58linyXCiEA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,7,Distributor,"Tidak Ada   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 214,00 Juta","Rp. 3.432,00 Juta",50 %/Tahun,"Rp. 0,00 Juta","Rp. 107,00 Juta",7
Jual Ikan,"26,3",82,1,2012,?pm=CHdZGY1lvdHXB2Sklb9UHA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 26,30 Juta","Rp. 82,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 20,00 Juta",4
Jual Pakan Ternak,"1.498,5",48,1,2014,?pm=SSdHwiXEr92C2s0NpU/MtQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 1.498,50 Juta","Rp. 48,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 1.695,00 Juta",5
JUAL SAPI,91,196,2,2013,?pm=p4JM5XcO+QUGHCN8VepLnA==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   40,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %",Sedang,"Rp. 91,00 Juta","Rp. 196,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 65,00 Juta",3
Jualan Ikan,10,22,1,2011,?pm=l4nHEpqJbOhFLjewEl6iSQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 10,00 Juta","Rp. 22,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 7,00 Juta",4
Kambing,43,24,20,2012,?pm=129ay9DMS1ouNhuJJaxjoQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,20,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 43,00 Juta","Rp. 24,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 100,00 Juta",3
Kambing & Ayam,77,64,1,2011,?pm=SEreaHWFeQutwEa9KgX3yg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 77,00 Juta","Rp. 64,00 Juta",100 %/Tahun,"Rp. 5,00 Juta","Rp. 60,00 Juta",3
KARTON,5,30,1,2012,?pm=zMLyE6up5XeTc4XXoR5htw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 5,00 Juta","Rp. 30,00 Juta",30 %/Tahun,"Rp. 5,00 Juta","Rp. 75,00 Juta",4
Kayu Gelondongan,191,226,3,2011,?pm=s7RC8wXshGFVLPJyBKjr3g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 191,00 Juta","Rp. 226,00 Juta",25 %/Tahun,"Rp. 0,00 Juta","Rp. 60,00 Juta",7
Kebun,"201,7",3,2,2013,?pm=YBRDVhPEXPvgyjIf8iKi3Q==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 201,70 Juta","Rp. 3,00 Juta",70 %/Tahun,"Rp. 10,00 Juta","Rp. 250,00 Juta",5
KEBUN KOPI,21.02,5.2,2,2013,?pm=anP0cjzWa0ETvBIzru/Axw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 21.020,00 Juta","Rp. 5.200,00 Juta",40 %/Tahun,"Rp. 5,00 Juta","Rp. 210,00 Juta",3
KEBUN NENAS,9.1,1.28,6,2013,?pm=1K6JxUyD/xIvmN6R2G95uQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,6,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 9.100,00 Juta","Rp. 1.280,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 80,00 Juta",5
Kebun Sawit,75,26,3,2011,?pm=njS+IZ6rQKHrnpgIW+Kikg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 75,00 Juta","Rp. 26,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 90,00 Juta",4
KEBUN TEBU,23.000.000,420.000.000,5,2013,?pm=n7PP4sYAFbAd/5u2e/WuuQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan",Perorangan,5,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 23.000.000,00 Juta","Rp. 420.000.000,00 Juta",100 %/Tahun,"Rp. 6,00 Juta","Rp. 106,00 Juta",8
