Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Penjahit Ahulu,Penjahit Pakaian,7,63,2,2012,"['_pengusahadetail(""?pm=V6DscPEXTgQ+nO0GKgQWJg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Ahulu"")']"
 Penjahit Simpati,Penjahit,132,180,1,2013,"['_pengusahadetail(""?pm=Ff4CSUXC9hxKMGrbzQNLDw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Simpati"")']"
 Suarni Dakhi Taylor,Penjahit,131,20,1,2012,"['_pengusahadetail(""?pm=Jv7XXihqQCqmA27dsAyKXQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Suarni Dakhi Taylor"")']"
 Penjahit Amoniko Demus,Penjahit Pakaian,125,60,2,2012,"['_pengusahadetail(""?pm=aMU72MCt3+QZMOiompmV+g==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Amoniko Demus"")']"
 Penjahit Sanora Art,Penjahit Pakaian Adaat,16,216,4,2012,"['_pengusahadetail(""?pm=DJOXEW46uKrym0l9O0gKNA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Sanora Art"")']"
 Service Ganumba,Service Dinamo,114,60,3,2012,"['_pengusahadetail(""?pm=iP3TX9mA9AWtlV8LVVyPqA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Service Ganumba"")']"
 Alone Net,Jasa Warnet,159,48,1,2010,"['_pengusahadetail(""?pm=xjBaNAURnYT+DRQe7C9F4w==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Alone Net"")']"
 Levis Taylor,Jasa Penjahit,0,0,1,2012,"['_pengusahadetail(""?pm=cph9RKTCMCs5umv2Nnuyww==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Levis Taylor"")']"
 Warnet Erin,Warnet,"54,5",54,1,2011,"['_pengusahadetail(""?pm=f+5LoZRzoeWN9Kv6WyDFvg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warnet Erin"")']"
 Penjahit Suwarno,Jasa Jahit,"54,6",102,1,2013,"['_pengusahadetail(""?pm=bCYyVfrEfmK/HhCKE5cWkw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Suwarno"")']"
 Mode Net,Jasa rental Internet,107,123,2,2008,"['_pengusahadetail(""?pm=S7zxQseRWElE4UTIJJcopQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Mode Net"")']"
 Fortuna Jeans,Jasa Jahit,24,116,2,2013,"['_pengusahadetail(""?pm=BsPIT3AgBlW9ufZLWqlrjQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Fortuna Jeans"")']"
 Merci,Jahit Pakaian,"75,6",140,1,2011,"['_pengusahadetail(""?pm=MMdoJwIgBwODwNd1sYUWBQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Merci"")']"
 AKMAL TAILOR,PENJAHIT PAKAIAN,"2,7","17,4",1,2011,"['_pengusahadetail(""?pm=NZw/1hGljm99Cq63lkIIqw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""AKMAL TAILOR"")']"
 IDOLA TAYLOR,JAHITAN BAJU PRIA,60.200,5.600,3,2013,"['_pengusahadetail(""?pm=G8OM9RU1FA1lE4d26wjduw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""IDOLA TAYLOR"")']"
 Usaha Las,Usaha Las,"13,5",94,1,2010,"['_pengusahadetail(""?pm=cL9Eu9Qgi74owrCQbguGHQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Usaha Las"")']"
 Usaha Fotokopi,Usaha Fotokopi,21,70,1,2010,"['_pengusahadetail(""?pm=277UsXysXcMcBeJUtZk8nQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Usaha Fotokopi"")']"
 Foto Copy Sunarti,Fotocopy,"911,5",234,2,2011,"['_pengusahadetail(""?pm=jP9okpp72qzLahDPkC5NZA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Foto Copy Sunarti"")']"
 Tambal Ban Siburian,Tambal Ban,45,127,1,2013,"['_pengusahadetail(""?pm=StJV36wnWYqLFEqES3jGaw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Tambal Ban Siburian"")']"
 PENJAHIT ALFAD ,PENJAHITAN ,52,112,2,2012,"['_pengusahadetail(""?pm=HjZKEJjKQbil84GBqv+XTg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""PENJAHIT ALFAD "")']"
 CV. Fauzin Pratama,Foto Copy Dan Percetakan,725,360,9,2011,"['_pengusahadetail(""?pm=K2QYaTRPsHZqnvP3lKlD9Q==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""CV. Fauzin Pratama"")']"
 Pangkas Rambut Sportif,Pangkas Rambut,3,30,1,2011,"['_pengusahadetail(""?pm=JikQIEjvlIo8WaIgsU55BA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Pangkas Rambut Sportif"")']"
 Arjuna Foto & Salon,Fotografi,"366,2",615,15,2011,"['_pengusahadetail(""?pm=1CIP1GLDkWvfAKJv75AQew==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Arjuna Foto & Salon"")']"
 Pangkas Rambut Win,Jasa Pangkas Rambut,"70,2",102,3,2011,"['_pengusahadetail(""?pm=s+WdoMawt7ZQ436Qr0EIVg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Pangkas Rambut Win"")']"
 BERDIKARI OVEN TOBELO ,PEMBUATAN OVEN KUE ,396,600,4,2012,"['_pengusahadetail(""?pm=0JBLfPqwIFDmi5g4JcpzUg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""BERDIKARI OVEN TOBELO "")']"
 RIZKIA MOTOR,BENGKEL DAN JUAL ONDERDIL MOTOR,2.246,441,5,2012,"['_pengusahadetail(""?pm=hI3dLFRU3ZVd9puJEBwCIQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""RIZKIA MOTOR"")']"
 Rana Cell,Service Handphone,"93,5",22,1,2009,"['_pengusahadetail(""?pm=Hf1C4ii5e6Wuf5hnNqyWJA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Rana Cell"")']"
 Dreamland Net,Jasa penyewaan Internet,"55,6",125,3,2008,"['_pengusahadetail(""?pm=v11HrDTtBWV1aUZFpsnrZw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Dreamland Net"")']"
 Salon Fitri,Salon,"23,5",98,1,2010,"['_pengusahadetail(""?pm=qOkTbrj8tj9vWWku7He25g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Salon Fitri"")']"
 Crazy Net,Warnet,272,144,2,2010,"['_pengusahadetail(""?pm=TOMY18kufCsJidEOGI2kdQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Crazy Net"")']"
 Fajar Elektro,Jasa Servis,10,40,1,2012,"['_pengusahadetail(""?pm=QmiOjBrVB6dcA8cZ9plZhA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Fajar Elektro"")']"
 Salon Anik,Salon,1.047.000.000,160.000.000,3,2012,"['_pengusahadetail(""?pm=wfNM+ZP7DXs9Gn2PdZJZsw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Salon Anik"")']"
 PENJAHIT METRO,PENJAHITAN,"113,6",300,11,2011,"['_pengusahadetail(""?pm=JV0j4UIGS800pLF3ItvSaw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""PENJAHIT METRO"")']"
 Warnet Ferry,Warnet,30,20,1,2012,"['_pengusahadetail(""?pm=R+Dcd3fcERlWk0NzTiOJAg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Warnet Ferry"")']"
 Bengkel Las Langgeng,Bengkel Las,27,50,1,2012,"['_pengusahadetail(""?pm=k8BSigRNaB7ONZ5Altu69Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Las Langgeng"")']"
 RISMA PENGANTIN,PERIAS PENGANTIN,"197,1","35,2",2,2011,"['_pengusahadetail(""?pm=on9YWkFbgpoNC7Itt7WOEA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""RISMA PENGANTIN"")']"
 KURNIA SALON,Salon,"18,2",48,2,2011,"['_pengusahadetail(""?pm=5Q83QHzkND4NglhHUQN5Sg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""KURNIA SALON"")']"
 Caing Salon,Salon Pengantin,140,60,22,2011,"['_pengusahadetail(""?pm=ufUZhB6ZJKd9VKIp2TS+Ug==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Caing Salon"")']"
 Rema Salon,Salon,262,120,11,2011,"['_pengusahadetail(""?pm=xNLCToZhoe2rVu5IB6WXWg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Rema Salon"")']"
 QUENS,JAHIT,"58,62","14,4",2,2011,"['_pengusahadetail(""?pm=5djHXmsM4gy33iVQDwBreg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""QUENS"")']"
 CV Alfitama Prima,General Contractor,404,800,10,2014,"['_pengusahadetail(""?pm=x7CA8kxmYbiAvnjvZqs6zg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""CV Alfitama Prima"")']"
 Konveksi,Konveksi,108.000.000,70.000.000,5,2013,"['_pengusahadetail(""?pm=3znji5ye4KnCBfczDA4DtA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Konveksi"")']"
 Penjahit Harapan Jaya,Jasa Jahit,44,36,1,2013,"['_pengusahadetail(""?pm=EraBFBWiGxX38y3oyMD8OA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Penjahit Harapan Jaya"")']"
 YUSTIN TAILOR,JAHITAN,"48,6",38,4,2010,"['_pengusahadetail(""?pm=RFqOnvcsIbL08GaYuS2ysA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""YUSTIN TAILOR"")']"
 Penjahit Berkat,Menjahit Baju,"11,67","32,4",2,2016,"['_pengusahadetail(""?pm=vBtmEsPx1c8LCVJLo/znVg==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Penjahit Berkat"")']"
 Hidayat Collection,Penjahit,"4,8",144,1,2016,"['_pengusahadetail(""?pm=q8+VyxgymNueHSwjTJlH6w==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Hidayat Collection"")']"
 Ramayana Tailor,Penjahit,"390,2",630,4,2016,"['_pengusahadetail(""?pm=a9wUKiKw+5+fRaYoruIo/g==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Ramayana Tailor"")']"
 Percetakan Nabilla Mode,Stempel,18,300,3,2016,"['_pengusahadetail(""?pm=A8H36n78qXkdUNdAyDaGWg==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Percetakan Nabilla Mode"")']"
 Rosilla Salon,Salon Rambut,"209,55",216,1,2016,"['_pengusahadetail(""?pm=5X8EbcKXcsjtL2JzLl/VEw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Rosilla Salon"")']"
 Tailor Arto Moro,Penjahit,33,24,2,2016,"['_pengusahadetail(""?pm=1IO++oEqVlHpxp380asksA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Tailor Arto Moro"")']"
