Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Mulyana,Tenun,166.400.000,33.000.000,1,2013,"['_pengusahadetail(""?pm=cqxkH3JVijPfgoy4E8ICjg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Mulyana"")']"
 Makmur Jaya,Pembuatan Krupuk,103,102,2,2012,"['_pengusahadetail(""?pm=8DsrhB8p9xJlCKcRWzjK9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Makmur Jaya"")']"
 UD Intan Karya,Pengolaha Kayu,"33,5",180,2,2010,"['_pengusahadetail(""?pm=5HGNwqiARKufB5x/8RlXmA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Intan Karya"")']"
 Rama Sadel,Jasa Kulit Motor,"54,5","10,4",2,2011,"['_pengusahadetail(""?pm=J/luhW2c1/HN25i+AhzGTQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Rama Sadel"")']"
 Industri Mie Ayam,Industri Mie Ayam,5,16,2,2011,"['_pengusahadetail(""?pm=oEb3fiB5dtCl5Q83FLBLmA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Industri Mie Ayam"")']"
 Kerupuk Istimewa,Industri Kerupuk,"159,7",315,10,2011,"['_pengusahadetail(""?pm=BJqDVw3cLur9Ne9GMSWMOw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Kerupuk Istimewa"")']"
 Gethuk Lindri Pak Sumain,Produksi Gethuk,"12,4",216,3,2011,"['_pengusahadetail(""?pm=YGvScOir86W/HTbaJnoxOQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Gethuk Lindri Pak Sumain"")']"
 Renbow Cake,Industri,"3,03",36,2,2013,"['_pengusahadetail(""?pm=Hj9mq52+QHfiq10EDsnBtg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Renbow Cake"")']"
 UD Anak Tunggal Jepara,Kusen Pintu Dan Cendela,"42,5",240,2,2010,"['_pengusahadetail(""?pm=1rd7HFpflkGqAvs9rFAXLA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Anak Tunggal Jepara"")']"
 UD Sinar Jaya,"Kusen,pintu",90,420,3,2010,"['_pengusahadetail(""?pm=AqdGtk4OqoeAEJiTp7lvcA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Sinar Jaya"")']"
 TOKO H.AHMAD,PERABOT DAPUR,"6,5",90,6,2011,"['_pengusahadetail(""?pm=QI2V3/7TwEFChC0VVhMQOg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""TOKO H.AHMAD"")']"
 Habibah,Tenun,179.530.000,88.800.000,1,2013,"['_pengusahadetail(""?pm=H83bdacQFQQbfeufHtCsFQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Habibah"")']"
 Keripik Gigik,Pengolahan Singkong,12,466,3,2013,"['_pengusahadetail(""?pm=erP6U7v8t3jkvHSjpPtY1w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Keripik Gigik"")']"
 Indo Tang,Tenun,101.700.000,38.500.000,1,2013,"['_pengusahadetail(""?pm=RTEySe3e4BByeFOuK/COlg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Indo Tang"")']"
 Aspianah,Manik,156.950.000,24.600.000,1,2013,"['_pengusahadetail(""?pm=q4pxFSt+kipjNetkMYzNWA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Aspianah"")']"
 UD Vino Jaya,"Kusen ,pintu",57,264,1,2010,"['_pengusahadetail(""?pm=nebSdZDJOzLI/9BWUDiBlA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Vino Jaya"")']"
 UD Karya Barokah,Kusen Pintu,"67,5",192,2,2010,"['_pengusahadetail(""?pm=yJWPJv0pJ1eIGj6B76yr1Q==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Karya Barokah"")']"
 UD Tunas Karya,"Kusen Pintu,cendela","52,5",260,2,2010,"['_pengusahadetail(""?pm=INMALkLffHzlnU51wTqcvA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Tunas Karya"")']"
 Asep Irmawan,Percetakan,17,"116,4",2,2010,"['_pengusahadetail(""?pm=ZWIRBINSAZjdT1XPyyRdAg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Asep Irmawan"")']"
 UD RJ,Pengolahan Kayu,65,360,2,2010,"['_pengusahadetail(""?pm=iiXIehFa+ez9R5RHfo7gJA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD RJ"")']"
 Hasnawati,Manik,167.875.000,26.800.000,1,2013,"['_pengusahadetail(""?pm=MmVre3vMCFO5HFUF7+jITA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Hasnawati"")']"
 Arbayah,Manik,167.875.000,26.800.000,1,2013,"['_pengusahadetail(""?pm=Pj5UYG8bfhPd7Mpz9Xq9vw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Arbayah"")']"
 Bunga,Tenun,130.250.000,66.000.000,1,2013,"['_pengusahadetail(""?pm=LOMY+Xg908E5+95seC+WjA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Bunga"")']"
 Nor Syaidah,Tenun,150.085.000,43.400.000,1,2013,"['_pengusahadetail(""?pm=IwYyHMyxQMrD8ZNIHf3z+g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Nor Syaidah"")']"
 Noor,Tenun,141.005.000,29.400.000,1,2013,"['_pengusahadetail(""?pm=13eIShrLvprMS609qXc1Cg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Noor"")']"
 Kasmiyati,Tenun,142.805.000,29.220.000,1,2013,"['_pengusahadetail(""?pm=z2azATv8PO0NhzbQ/8hAjw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Kasmiyati"")']"
 Isa,Tenun,157.000.000,45.600.000,1,2013,"['_pengusahadetail(""?pm=OiEMnqKFmxdm4ZLfeZrD7w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Isa"")']"
 IRFAN KERANG,PENGOLAHAN KERANG,"88,75","60,9",2,2011,"['_pengusahadetail(""?pm=XXMlvT3olhRQ1Yz7LyAZyQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""IRFAN KERANG"")']"
 ES DAWET AYU,ES DAWET,"114,46",250,4,2011,"['_pengusahadetail(""?pm=4lqWVV1Rs45ydYZR0M5aOw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""ES DAWET AYU"")']"
 PENGOLAHAN ATAP RUMBIA,ATAP RUMBIA,"96,12","51,04",2,2011,"['_pengusahadetail(""?pm=TN+VhW3Xyu2gJOUDVTj5KA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""PENGOLAHAN ATAP RUMBIA"")']"
 Warung Ngalim,Warung Ngalim,"16,75",162,2,2014,"['_pengusahadetail(""?pm=/XDuQSeFftu9YE3d9FZzrA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Warung Ngalim"")']"
 Es Batu Masriah,Es Batu,"14,2","5,5",2,2014,"['_pengusahadetail(""?pm=8RJYiw48bU0nojkxoJrCkw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Es Batu Masriah"")']"
 Bakso Rohman,Bakso,"6,03","82,5",4,2014,"['_pengusahadetail(""?pm=YgebthNGPaquH2ehh1MiPw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Bakso Rohman"")']"
 Cendol Kasrani,Cendol,"1,8",60,2,2014,"['_pengusahadetail(""?pm=TFfgVLp2S1RRq4q2F4JoqQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Cendol Kasrani"")']"
 Lisa Bakery,Industi,"213,1",144,1,2013,"['_pengusahadetail(""?pm=UBAuIeYVHceLpv97YRPMsQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Lisa Bakery"")']"
 I Kabi,Tenun,11.500.000,52.000.000,1,2013,"['_pengusahadetail(""?pm=6qvdldVDxtsPgxJ5HZhj1g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""I Kabi"")']"
 Indo Asse,Tenun,129.000.000,52.000.000,1,2013,"['_pengusahadetail(""?pm=RF/VZWMkPxaPmJV2xN395w==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Indo Asse"")']"
 Sakriah,Tenun Samarinda,142.480.000,53.915.000,3,2013,"['_pengusahadetail(""?pm=ytLlBy0wLcNN9j2OZgFvxA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sakriah"")']"
 Sumarni,Manik,209.650.000,45.880.000,1,2013,"['_pengusahadetail(""?pm=MWShGCyJNKhxpko0dVdtsQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sumarni"")']"
 Jamriana,Tenun,228.200.000,53.625.000,2,2013,"['_pengusahadetail(""?pm=Q5TFe1UgXc5n0Y36L9XW7g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Jamriana"")']"
 Atira,Manik,189.100.000,45.040.000,1,2013,"['_pengusahadetail(""?pm=0yTK0KrxIRbK/xZYxxaYWA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Atira"")']"
 Iksi,Tenun,120.300.000,45.600.000,1,2013,"['_pengusahadetail(""?pm=W5ElyHRys9GHA2mNLalQ+Q==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Iksi"")']"
 Marhumah,Tenun,117.550.000,38.500.000,1,2013,"['_pengusahadetail(""?pm=SST1bRBWByCNRd7MUS+Owg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Marhumah"")']"
 UD Sarana Wisma,Kusen Pintu Dan Cendela,"60,5",240,3,2010,"['_pengusahadetail(""?pm=mHTi7QZ4xsMJ1ksc+r8qdg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Sarana Wisma"")']"
 UD Karya Mustika,Pengolahan Kayu,195,600,11,2010,"['_pengusahadetail(""?pm=cZz7nRkg6lhrwLgJVaxR2g==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Karya Mustika"")']"
 UD Galih Mulyo,Kusen Pintu Dan Cendela,"157,5",330,2,2010,"['_pengusahadetail(""?pm=AdflfYklCXCl67yY9zzEtg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""UD Galih Mulyo"")']"
 Akhsama Higienis,Air Isi Ulang,"159,5",88,2,2011,"['_pengusahadetail(""?pm=j7RG+wjThKfC/zB9hBi/gQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Akhsama Higienis"")']"
 Mariyati Joss,Kue-kue Basah,"118,5",30,12,2011,"['_pengusahadetail(""?pm=6vtdq9OKvOeaD8Zpbe1igA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Mariyati Joss"")']"
 Depo Air Isi Ulang Oasezam,Depo Air Isi Ulang,"41,39",189,5,2011,"['_pengusahadetail(""?pm=PT/6FXuproqZdqrKy05JHg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Depo Air Isi Ulang Oasezam"")']"
 Hasni,Tenun,190.850.000,47.050.000,1,2013,"['_pengusahadetail(""?pm=PxUagbFia6Vjra+EVN5lHw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Hasni"")']"
 Matahari,Tenun,172.430.000,43.620.000,1,2013,"['_pengusahadetail(""?pm=TCgakOAFEaji1mJ5SaWJEg==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Matahari"")']"
 Sitti Nahriyah M,Tenun,174.950.000,44.300.000,1,2013,"['_pengusahadetail(""?pm=LtYW2AZqxlvUxul1U+/oKA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Sitti Nahriyah M"")']"
 Gusnawati,Tenun,162.380.000,57.100.000,1,2013,"['_pengusahadetail(""?pm=S8moL33JAMir6A6ibJdXWw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Gusnawati"")']"
 Iirajeng,Tenun,162.180.000,41.200.000,1,2013,"['_pengusahadetail(""?pm=XCjn0jl5i79z1zxXwJkd7g==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Iirajeng"")']"
 Meubel Rotan Tunas Harapan ,Meubel Rotan Kursi,68,156,4,2012,"['_pengusahadetail(""?pm=jHxGi7tq0pgf5Z+pUAhI0g==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Meubel Rotan Tunas Harapan "")']"
 Industri Kecambah,Industri Kecambah,"87,4",252,3,2011,"['_pengusahadetail(""?pm=mdV0LSvZ0KEKYx1fjrEbAw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Industri Kecambah"")']"
 Industri Mainan,Industri Mainan,"33,7","91,2",1,2011,"['_pengusahadetail(""?pm=vv0xZKKYVNsDIWhPpbZ1IQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Industri Mainan"")']"
 Industri Keripik,Industri Keripik,"90,78","11,1",1,2011,"['_pengusahadetail(""?pm=bRZcWdqGwYqwiqLn6VuZbQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Industri Keripik"")']"
 Batik Tulis Ibu Sartirun,Batik Tulis,47,142,15,2012,"['_pengusahadetail(""?pm=G61zcvFzbUyDqQPfKdPiBA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Batik Tulis Ibu Sartirun"")']"
 Krupuk Haa Putra,Krupuk Kulit,124,148,3,2009,"['_pengusahadetail(""?pm=YO4qy9ZVfpmgWBlF18nVQQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Krupuk Haa Putra"")']"
 Sagon Garuda,Sagon,60,96,22,2009,"['_pengusahadetail(""?pm=Nz2JXVVgdtxDmoBVCYIrNA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Sagon Garuda"")']"
 Anwar Collection,Kaos,40,116,3,2009,"['_pengusahadetail(""?pm=1TnDeQvh+fIy3Qllr1VNnw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Anwar Collection"")']"
" Krecek Sunaryo""",Krecek Kulit,"173,5",148,2,2009,"['_pengusahadetail(""?pm=bYmobDQd9s5v6M/myN+IeA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Krecek Sunaryo"""")']"
" Genteng ""JTS""",Genteng ,96,176,4,2009,"['_pengusahadetail(""?pm=de0UOZf1qLR1ZMI0Xn3xyQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Genteng ""JTS"""")']"
" Sale Pisang ""Faisal""",Sale Pisang,69,260,3,2009,"['_pengusahadetail(""?pm=99dApypsC7ASFUbo6lzmeg==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Sale Pisang ""Faisal"""")']"
 Batik Tulis,Garmen / Batik,"5,03",10,1,2014,"['_pengusahadetail(""?pm=9/mn/tG3blONK0Up4s+VHQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Batik Tulis"")']"
 Pupuk Kandang Ilham,Pengolahan Pupuk Kandang,"22,2",6,2,2014,"['_pengusahadetail(""?pm=66dBcar+FPoXTKjcIalqFg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Pupuk Kandang Ilham"")']"
 Kue Piya Bu Sri,Kue Pia,22,"94,6",2,2014,"['_pengusahadetail(""?pm=xYjmTLUP9eDBrE3W48BOFw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Kue Piya Bu Sri"")']"
 Empek Empek Mbak Lulu,Mpek - Mpek,"25,5","168,48",1,2014,"['_pengusahadetail(""?pm=g17v38/4dpKgquSmVYRJtw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Empek Empek Mbak Lulu"")']"
 Anisa Foto Copy,Foto Copy,245,446,1,2012,"['_pengusahadetail(""?pm=+Sa7alKSTgEdmyTmGgRKLg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Anisa Foto Copy"")']"
 Altje,Kerajinan Gerabah,"38,6","22,05",2,2009,"['_pengusahadetail(""?pm=hd9zb9B/AKNoPXKMhy5DwQ==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Altje"")']"
 Selvi,Kerajinan Gerabah,39,"21,75",1,2009,"['_pengusahadetail(""?pm=nQJajlUMo79ljZOVqXopng==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Selvi"")']"
 Harapan Jaya,Pembuatan Pagar Besi Dan Canopy,422,124,5,2011,"['_pengusahadetail(""?pm=xlfw959zZnWkocI8ZRTHVA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Harapan Jaya"")']"
 Darma Agung,Panglong,219,840,2,2010,"['_pengusahadetail(""?pm=lIEwGtmzQVDSesYe4ZpZ4Q==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Darma Agung"")']"
 Kerajina Eceng Gondok Rama 21,Kerajinan Eceng Gondok,"212,75",21,3,2010,"['_pengusahadetail(""?pm=9+ohnTKa1i3XqdFOM2jxug==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kerajina Eceng Gondok Rama 21"")']"
 Pabrik Tahu Fanindi ,Pembuatan Tahu - Tempe ,121,768,5,2012,"['_pengusahadetail(""?pm=JLodWwp/LJ/wq/K93TRLHw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Pabrik Tahu Fanindi "")']"
 Depot Air Fransiska,Depot Air,631,61,1,2012,"['_pengusahadetail(""?pm=BppipMstIe6jFjiduwjQBQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Depot Air Fransiska"")']"
 Darul Foto Copy,Foto Copy,70,110,1,2012,"['_pengusahadetail(""?pm=S9PXyylEisOi8Ze91OQS1w==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Darul Foto Copy"")']"
 Foto Copy Restu Alam,Foto Copy,141,50,1,2012,"['_pengusahadetail(""?pm=GKrwL6dqfEWrE8OTmn+6Gg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Foto Copy Restu Alam"")']"
 RIZKY Sale Pisang Basah,Produksi Sale Pisang Basah,137,50,6,2013,"['_pengusahadetail(""?pm=uoUPWSdfMX/bCMrptyyniw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""RIZKY Sale Pisang Basah"")']"
 UD.Mayumi,Pembuatan Gorong-Gorong,"109,7",621,7,2008,"['_pengusahadetail(""?pm=b8xJnycCe/wE5AF01IpetA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""UD.Mayumi"")']"
 Usaha Gorong-Gorong Dg.Sami,Pembuatan Gorong-Gorong,336,117,8,2008,"['_pengusahadetail(""?pm=MD6OMj8NNYEJSRu9WEajag==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Usaha Gorong-Gorong Dg.Sami"")']"
 Usaha Tenun Sutera Dg.Basse,Pembuatan Kain Sutera,"268,8","43,2",3,2008,"['_pengusahadetail(""?pm=GniYlUCtmpqs081wJlTSuw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Usaha Tenun Sutera Dg.Basse"")']"
 Anyaman Bambu Dg.Nambung,Pembuatan Anyaman,"13,13",116,4,2008,"['_pengusahadetail(""?pm=KzQB/rvM0vphXNajy84CgA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Anyaman Bambu Dg.Nambung"")']"
 Meubel Gaffar Dg. Ngalle,Pembuatan Meubel,37,166,4,2008,"['_pengusahadetail(""?pm=U6V2pkAzTuTHgL7DUd7Fwg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Meubel Gaffar Dg. Ngalle"")']"
