Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Jahit,"29,95",70,7,2014,?pm=gP6HQxXxc1YuM96bBfYFcg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,7,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %",Rendah,"Rp. 29,95 Juta","Rp. 70,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3
Jajanan Tradisional,"1,81","10,08",1,2014,?pm=M8qqdTHSxh/fXy3g4m7EQg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 1,81 Juta","Rp. 10,08 Juta",- %/Tahun,"Rp. 1,00 Juta","Rp. 20,00 Juta",3
Buruh Cuci,"15,21","6,3",1,2014,?pm=bjR8W0WvvbNZJG6tcZkDgg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %",Tinggi,"Rp. 15,21 Juta","Rp. 6,30 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 11,00 Juta",3
Tukang Jahit,64,150,3,2014,?pm=j/USxDHk4y6nTeiIxVueaQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 64,00 Juta","Rp. 150,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3
Rajutan Souvenir,"11,51",6,1,2014,?pm=57zZDGPxeo8KPckLhsVWag==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 11,51 Juta","Rp. 6,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 350,00 Juta",6
Es Cream,"65,26","16,5",1,2015,?pm=fmsIAhhadL2VJi8iwNHNrQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 65,26 Juta","Rp. 16,50 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 30,00 Juta",4
Kerajinan Batu Akik ,60,180,1,2015,?pm=z/zqS88vYIo/cLkwYzZ9jg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 60,00 Juta","Rp. 180,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",4
Penjahit,84,24,1,2014,?pm=rsLKsZuFp5Uy6ikjaNRvhA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 84,00 Juta","Rp. 24,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 80,00 Juta",4
Menjahit Pakaian,"101,4",72,1,2014,?pm=+VlF8Ad4Ib65JqrI2UWEgw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 101,40 Juta","Rp. 72,00 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 100,00 Juta",3
Loundry,"13,3",18,2,2014,?pm=TFIMGg1QD+DHn9cGbF65+w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 13,30 Juta","Rp. 18,00 Juta",- %/Tahun,"Rp. 7,00 Juta","Rp. 7,00 Juta",5
