Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Loveary,Industri Makanan Coklat,"112,5",86,4,2009,"['_pengusahadetail(""?pm=uyGo5xjJ2GJFbqQIwGxmyw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Loveary"")']"
 Es Rumput Laut Fathir,Dagang Minuman,"13,1",72,2,2008,"['_pengusahadetail(""?pm=fD5WTbHfR+RbheL+9ont/w==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Es Rumput Laut Fathir"")']"
 Pondok Buah,Dagang Buah-Buahan,14,108,1,2008,"['_pengusahadetail(""?pm=cmDLwLeyB/0zhEjc228Leg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Pondok Buah"")']"
 Mail Ponsel,Dagang Voucher Handphone,23,108,1,2008,"['_pengusahadetail(""?pm=uAU6gAUtK/ZGiNfmJx+Oyg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Mail Ponsel"")']"
 UD Cemmara Coffe,Makanan Dan Minuman ,"9,85",96,2,2014,"['_pengusahadetail(""?pm=hj4yU5gla3JBOATD6PFFSg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""UD Cemmara Coffe"")']"
 Toko Junaedi,Toko,5,12,2,2013,"['_pengusahadetail(""?pm=rM5Wrp0G58tB9rGUwhvKFA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Toko Junaedi"")']"
 Warung Latifah,Warung,"14,05",20,2,2013,"['_pengusahadetail(""?pm=/k+N1H0ES1BE7UhnberNxw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Warung Latifah"")']"
 Jualan Kelontong ,Jualan Sembako ,"125,5","40,8",1,2014,"['_pengusahadetail(""?pm=w699K+fIzb+GtQUkYQSUmA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Jualan Kelontong "")']"
 Lontong Bu Rafiah ,Makanan Lontong ,"3,82",72,1,2014,"['_pengusahadetail(""?pm=ReaNVz/x34f5fQmD5ccl9w==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Lontong Bu Rafiah "")']"
 Barang Pecah Belah ,Barang Pecah Belah ,"86,5",468,1,2014,"['_pengusahadetail(""?pm=tm8Bpge79tjKJflLvM6zqQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Barang Pecah Belah "")']"
 N & A Cell,Toko,95,400,3,2013,"['_pengusahadetail(""?pm=dhLuYSo7ohi500oiebSBTQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""N & A Cell"")']"
 Stiker Ringroad,Toko,8,75,1,2013,"['_pengusahadetail(""?pm=kLoHS48V5/LgHFalXDuEoA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Stiker Ringroad"")']"
 Vintage Shop,Toko,191,300,1,2013,"['_pengusahadetail(""?pm=+MfQFxc6779nfQePtBEGUQ==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Vintage Shop"")']"
 Toko Kue Anggun,Toko Kue,62,468,2,2010,"['_pengusahadetail(""?pm=jspZXFS04zhe+lRuIdGndQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Kue Anggun"")']"
 Gladia Busana,Toko Pakaian,40,325,1,2010,"['_pengusahadetail(""?pm=u4T4SDnYIU7nwjHVgRfyfA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Gladia Busana"")']"
 Fuja Mulia Jaya Service,Service Power Window,29,144,1,2010,"['_pengusahadetail(""?pm=vReCyj5kmg5dTceYmJVuqg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Fuja Mulia Jaya Service"")']"
 Toko Jamu Sala Guri,Toko Jamu,30,"159,9",1,2010,"['_pengusahadetail(""?pm=/UOwuVBA+PUN5EeSe12qow==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Jamu Sala Guri"")']"
 Murniati,Toko Sembako,142.850.000,21.800.000,1,2013,"['_pengusahadetail(""?pm=SfMeXy+Ystoe7XLEPMRJyA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Murniati"")']"
 Toko Sinar Mulia,Toko Pakaian,31,"187,2",1,2010,"['_pengusahadetail(""?pm=U/RRicSgKBdBsOzCmZyqiQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Sinar Mulia"")']"
 Toko Sepatu Ani Shoes,Toko Sepatu,52,624,1,2010,"['_pengusahadetail(""?pm=tm8jewyCYgXZwi++v18K1Q==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Sepatu Ani Shoes"")']"
 Cris Jaya Oil,"Tambal Dan Oil, Sparepart Motor",61,162,1,2010,"['_pengusahadetail(""?pm=n8qxsduI8wHZ5R18k5mCdg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Cris Jaya Oil"")']"
 Magots Cell Dan Juice,Warung Pulsa,27,128,3,2010,"['_pengusahadetail(""?pm=Eq4By/ZCtiy3KrMTTVUKTg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Magots Cell Dan Juice"")']"
 Suplier Sandal,Suplier,13,390,2,2013,"['_pengusahadetail(""?pm=M40PiS9MQd6jfxVQyFdsgw==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Suplier Sandal"")']"
 Toko Puspa,Toko,6,6,1,2013,"['_pengusahadetail(""?pm=0TmjxeT29yYq/12t5vivww==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Toko Puspa"")']"
 Toko Bayu,Toko,8,6,1,2013,"['_pengusahadetail(""?pm=i4nELZ4wTb6dC//TvYt7PA==&mp=fOhzApotY5QnAtxxXvjAfA=="",""Toko Bayu"")']"
 UD. ELI,TOKO SEMBAKO,"560,27",288,1,2011,"['_pengusahadetail(""?pm=XUGuLFLTMHSuAlslbIauiQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""UD. ELI"")']"
 Toko Buah Jaya,Penjualan Buah,"220,5",140,5,2011,"['_pengusahadetail(""?pm=DgUOgXFqmN039LGg/Ns2fw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Toko Buah Jaya"")']"
 Buah-buahan,Buah-buahan,"26,5",76,4,2011,"['_pengusahadetail(""?pm=L0RLnRSWVCSut2yoo+2qVA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Buah-buahan"")']"
 Toko Saiful,Mainan Anak,311,"26,6",1,2011,"['_pengusahadetail(""?pm=XYqGxBDYentgMIJxnqpDwQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Toko Saiful"")']"
 Tujuh Cell,Jual Pulsa,3,30,1,2011,"['_pengusahadetail(""?pm=bcOD3XHqoaVYUguBlV+yOg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Tujuh Cell"")']"
 Warung Kelontong Dan Keripik Pisang,Warung Manisan Dan Kripik,31,36,2,2011,"['_pengusahadetail(""?pm=V7cckFQYmv7Vq8ap7PAFlA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Kelontong Dan Keripik Pisang"")']"
 Warung Manisan,Warung Manisan,19,36,1,2011,"['_pengusahadetail(""?pm=utB92bNzZIIT0r9sA6NT1A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan"")']"
 Warung Gunawan,Kelontongan,66,540,1,2011,"['_pengusahadetail(""?pm=h2GszzA6r5OdRpJtzG/qiQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Gunawan"")']"
 Warung Konah,Dagang Kelontonngan,"24,6",135,1,2011,"['_pengusahadetail(""?pm=qHE8JJtfYp4naE6iIEpYXg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Konah"")']"
 Udang Kis / Beku,Udang Kis/beku,154,220,1,2012,"['_pengusahadetail(""?pm=M5IdSRZ8tD991pVWvcAZxg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Udang Kis / Beku"")']"
 Bengkel Sederhana ,"Bengkel Las, Service Mesin",11,29,1,2012,"['_pengusahadetail(""?pm=kLTZAX5xSEfnbT43Y6k4ew==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Sederhana "")']"
 Warung Manisan,Dagang,"9,5",24,1,2011,"['_pengusahadetail(""?pm=lbo2+2EwisP88bRT5WEY4Q==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan"")']"
 Kios Sepatu Purwono,Dagang Sepatu,"8,3",240,1,2011,"['_pengusahadetail(""?pm=y8Xxf1QXWjriAuzsyBs3tg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Kios Sepatu Purwono"")']"
 Warung Manisan Mutiara,Warung Manisan,15,72,2,2011,"['_pengusahadetail(""?pm=HNgBXb9BKZA+gU5s3TDPvw==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan Mutiara"")']"
 Toko Akbar,Kelontongan,11,171,1,2011,"['_pengusahadetail(""?pm=Yuxc8ilZ4TMdjz47OITueA==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Toko Akbar"")']"
 Warung Mb Nur,Kelontongan,45,288,1,2011,"['_pengusahadetail(""?pm=JxjWzZ7ypBR4wTrny4QtVg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Mb Nur"")']"
" Sate Bebek "" Putra Daimah""",Sate Bebek,112,148,3,2009,"['_pengusahadetail(""?pm=BqbeNxxi4JJgto8XvA8rzA==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Sate Bebek "" Putra Daimah"""")']"
" Soto Ayam "" Pak Parmin""",Soto Ayam,39,64,3,2009,"['_pengusahadetail(""?pm=RPurAQiaERodHbqDkfsu+A==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Soto Ayam "" Pak Parmin"""")']"
 UD Jein Collection,Penjualan Baju,"64,3",40,4,2014,"['_pengusahadetail(""?pm=Vei05zy4PQ0jQ4380WurZw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""UD Jein Collection"")']"
 Kios Santoso,Kios,164,285,1,2012,"['_pengusahadetail(""?pm=pHL5AhrvxLa7mg/FywXCjw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Kios Santoso"")']"
 UD. Jaya Rizky,Pupuk Dan Obat-obatan Pertanian,210,393,2,2012,"['_pengusahadetail(""?pm=f1SnKLrMbO3EMAPLD1/8Zg==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""UD. Jaya Rizky"")']"
 UD. Siem Baru,Penjualan Snack,124,321,1,2012,"['_pengusahadetail(""?pm=nELiBSdrkzKqVfMkGrjusA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""UD. Siem Baru"")']"
 Toko Mawar,Penjualan Sembako,117,107,1,2012,"['_pengusahadetail(""?pm=5Y47/ncnepAxp8X2kS8GUQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Toko Mawar"")']"
 Warung Manisan Indi,Dagang Makanan,"7,5",18,2,2011,"['_pengusahadetail(""?pm=TtDnazc4N2iXKbNprMKQ5w==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Manisan Indi"")']"
 Warung Valen,Warung,"21,5",48,2,2011,"['_pengusahadetail(""?pm=kLNowNykvVDzDHj6pm865w==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Valen"")']"
 Warung Kartika,Warung Kelontong,13,54,1,2011,"['_pengusahadetail(""?pm=YNyiQ2LPCN9n/TszrqQ/4A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Kartika"")']"
 Warung Kelontongan,Dagang Kelontongan,16,147,1,2011,"['_pengusahadetail(""?pm=/tOlXn6/gdlVllr3ncJtrQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Warung Kelontongan"")']"
 I A G (Istana Aksesoris Gaul),Dagang Asesoris,940,1.350,2,2008,"['_pengusahadetail(""?pm=57tB6NyiDIXIb7ovWmLshw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""I A G (Istana Aksesoris Gaul)"")']"
 Hetty,Dagang Sembako,"267,2",600,2,2008,"['_pengusahadetail(""?pm=HNirm9EYWu8BhjKxXea0mA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Hetty"")']"
 UD Horti,Dagang Sarana Produksi Pertanian,515,60,2,2008,"['_pengusahadetail(""?pm=bRlQodSidNDykEHJxz5Grw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""UD Horti"")']"
 Toko  Sepatu Dan Sandal,Dagang Sepau Dan Sandal,"37,5",180,1,2010,"['_pengusahadetail(""?pm=46pzwHrb9bGD0Y5L4EztQQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko  Sepatu Dan Sandal"")']"
 Toko Topi Dan Aksesoris,Dagang Topi Dan Aksesoris Sekolah,"25,6",58,1,2010,"['_pengusahadetail(""?pm=vTKz7d/WGhSXoITNLJ62qw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Topi Dan Aksesoris"")']"
 Dagang Ayam Kampung -Sopiah,Dagang Ayam Kampung,14,390,1,2010,"['_pengusahadetail(""?pm=tf8RXpdvQ8pAhLDqnAH1Mw==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Dagang Ayam Kampung -Sopiah"")']"
 Kios Jajanan Dan Snack,Dagang Snack,"30,5",84,1,2010,"['_pengusahadetail(""?pm=LQKA2rVHNaIYXvyidH5Wvg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Jajanan Dan Snack"")']"
 Kios Snack Dan Kelontongan (Wiwik),Dagang Sembako,"84,5",528,2,2010,"['_pengusahadetail(""?pm=piIekA41cjK9TYKjqdAhrA==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Kios Snack Dan Kelontongan (Wiwik)"")']"
 Toko Pakaian -Nasrul,Dagang Pakaian,"54,5",75,2,2010,"['_pengusahadetail(""?pm=PW2ILw77FF7KXLnq+1WGxQ==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Toko Pakaian -Nasrul"")']"
 Warung Kelontongan,Warung Kelontongan,59,114,1,2010,"['_pengusahadetail(""?pm=PHhqWSFNIZBFXcHsn/MYsg==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""Warung Kelontongan"")']"
