Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Rumah Makan,6,38,2,2013,?pm=WqkWF4V3qaVK/6Ge8blEsg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 6,00 Juta","Rp. 38,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 2,00 Juta",3
Rumah Makan,20,"47,88",2,2013,?pm=S0/dIBKsVQHsDwtrwMNUwg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 20,00 Juta","Rp. 47,88 Juta",20 %/Tahun,"Rp. 4,00 Juta","Rp. 8,00 Juta",4
Warung Minum,"2,55",144,1,2013,?pm=1KcQ+yViSCw8EeIn1gcazg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 2,55 Juta","Rp. 144,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 28,00 Juta",5
Rumah Makan,"11,3",180,1,2013,?pm=AcjC/2Dm9kWUmNdy/dGtiQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 11,30 Juta","Rp. 180,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",5
Warung Minum,18,144,1,2013,?pm=od+j6uqQoIwNps2XkDClsQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 18,00 Juta","Rp. 144,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",5
Warung,"10,5",79,2,2013,?pm=I0k+AOaWUnpPFoKEt1NF+w==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 10,50 Juta","Rp. 79,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",5
Warung Makan,"4,7",240,2,2013,?pm=Ju1lJgjtXf9oubBsE49quw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 4,70 Juta","Rp. 240,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 11,00 Juta",5
Camilan,"142,5",108,1,2013,?pm=SZVexC04gjjvAxAB8YSz4w==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 142,50 Juta","Rp. 108,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 8,00 Juta",4
Warung Makan,"2,5",60,1,2013,?pm=kTiKeBGtPOIOpgogFfyFGQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 2,50 Juta","Rp. 60,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",4
Camilan,17,"8,4",1,2013,?pm=OoN9nDtOMv3uvwmFLo9tRA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 17,00 Juta","Rp. 8,40 Juta",30 %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",5
Minuman,5,48,1,2013,?pm=x8es5d34SoJh0Mi2UD8M4g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 5,00 Juta","Rp. 48,00 Juta",8 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",5
Camilan,"3,75",155,2,2013,?pm=oyPP16bsbSg8KanwMf1H5g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 3,75 Juta","Rp. 155,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 5,00 Juta",5
Camilan,13,144,3,2013,?pm=Htkc+1lUIqQ2BzeF9BxfmA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 13,00 Juta","Rp. 144,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",5
Camilan,19,24,2,2013,?pm=ZaqKCTPajmRZjRZ5FvU7EQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 19,00 Juta","Rp. 24,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",5
Camilan,6,200,1,2013,?pm=Qj4h5F5N2OBEvrOI3zrg1A==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 6,00 Juta","Rp. 200,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 0,00 Juta",3
Warung Makan,"17,5",360,2,2013,?pm=rxDS7snlFqDyhROeIqeOdA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 17,50 Juta","Rp. 360,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 15,00 Juta",4
Warung Makan,"10,5",250,2,2013,?pm=smMPEeeRaIe9HC5rryBa3A==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 10,50 Juta","Rp. 250,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 8,00 Juta",5
Warung Makan,"6,5",990,3,2013,?pm=akzvwO1Hf4kboA6BZRg+8g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 6,50 Juta","Rp. 990,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 8,00 Juta",5
Warung Minum,"2,5",108,1,2013,?pm=rJ83E49PkJXcS4rR+DjiMQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 2,50 Juta","Rp. 108,00 Juta",10 %/Tahun,"Rp. 2,00 Juta","Rp. 0,00 Juta",3
Camilan,23,72,2,2013,?pm=QkdC0cg9rGkMXGbAB3cHDw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 23,00 Juta","Rp. 72,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",4
Rumah Makan,61,54,4,2013,?pm=65vmG75icI2FXQdLv6R1tQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 61,00 Juta","Rp. 54,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 16,00 Juta",5
Warung Makan,"0,8","87,6",1,2013,?pm=BV/2MdRA1BKqwArOE0x9gQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 0,80 Juta","Rp. 87,60 Juta",0 %/Tahun,"Rp. 5,00 Juta","Rp. 5,00 Juta",5
Warung Minum,"10,3",54,1,2013,?pm=nPTBVfp2jUSWffxnGQgaeg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 10,30 Juta","Rp. 54,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 4,00 Juta",5
Warung Makan,10,275,1,2013,?pm=Eo+U+NlT42e2JICp9bG2Yg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 10,00 Juta","Rp. 275,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 7,00 Juta",5
Warung Makan,"17,2",96,1,2013,?pm=Mb0NJ5bjDLZt16qd+chUyQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 17,20 Juta","Rp. 96,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 11,00 Juta",4
Warung Makan,"6,15",108,1,2013,?pm=4dTnOKZpI0xmWXwa93jvBA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 6,15 Juta","Rp. 108,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 8,00 Juta",4
Camilan,6,72,1,2013,?pm=HkfBFhrr3i/7c6/as828bQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 6,00 Juta","Rp. 72,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 8,00 Juta",5
Warung Makan,6,168,4,2013,?pm=10dTRGxSgMX4ue/S17F35Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 6,00 Juta","Rp. 168,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 11,00 Juta",5
Camilan,10,"21,67",2,2013,?pm=ufF8Rq7cty1e+QA7ynV0JQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 10,00 Juta","Rp. 21,67 Juta",10 %/Tahun,"Rp. 3,00 Juta","Rp. 7,00 Juta",4
Camilan,2,"10,8",1,2013,?pm=AhlZkLa4XYdVuPmMUoczZg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 2,00 Juta","Rp. 10,80 Juta",50 %/Tahun,"Rp. 5,00 Juta","Rp. 400,00 Juta",5
Warung Minum,20,180,1,2013,?pm=ZMxvDk7Wg5WiI7Q8vOeZBg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 20,00 Juta","Rp. 180,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 400,00 Juta",5
Warung Makan,149,80,5,2012,?pm=rXeuZNA7fJCKUHbeUfK6yQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,5,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   75,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   25,00 %",Rendah,"Rp. 149,00 Juta","Rp. 80,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",7
Dagang Mie Ayam,"1,9",69,1,2011,?pm=vxTNVUN3uoyNxcJvqP70lw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 1,90 Juta","Rp. 69,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",3
Rumah Makan,361,432,3,2008,?pm=MiH0EiXsFt9ZPFkTtMrJow==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 361,00 Juta","Rp. 432,00 Juta",50 %/Tahun,"Rp. 0,00 Juta","Rp. 310,00 Juta",8
Nasi Pecel Lele,59,39,1,2010,?pm=E0Se4Iyc+qvLsXnmhCG9tA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 59,00 Juta","Rp. 39,00 Juta",20 %/Tahun,"Rp. 8,00 Juta","Rp. 60,00 Juta",4
Pempek Palembang,578,570,2,2010,?pm=0SbSTSBWncKZ0sVRC6eNoQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 578,00 Juta","Rp. 570,00 Juta",50 %/Tahun,"Rp. 10,00 Juta","Rp. 458,00 Juta",6
Makanan,152,"28,5",0,2010,?pm=EA96M5koHuuoXWYmu7TyLg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 152,00 Juta","Rp. 28,50 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 145,00 Juta",6
Mie Ayam,"108,5","139,6",0,2010,?pm=xOhZFGXyAAgVnNt1XtQUow==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,0,Retail,"Tidak Ada   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 108,50 Juta","Rp. 139,60 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 108,00 Juta",5
Dagang Sate Kerang,106,596,7,2013,?pm=rBreMIXLJUCNOPLXwstieA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,7,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 106,00 Juta","Rp. 596,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 100,00 Juta",4
Warung Makan,"124,5",252,2,2013,?pm=F8JvPvrr2wd6Jk0uSWw1/g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 124,50 Juta","Rp. 252,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 12,00 Juta",3
Warung Makan,"136,5",252,1,2013,?pm=YRqJc5aeghD+tx4GYMHOIw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 136,50 Juta","Rp. 252,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",3
Jamu,"2,5",72,1,2013,?pm=tIwzmnfTxzspXmNChKqjXQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 2,50 Juta","Rp. 72,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 10,00 Juta",3
Cemilan,"5,9",180,1,2013,?pm=ygILGSpTwiK6ZMUI0tfA/g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 5,90 Juta","Rp. 180,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",5
Kerak Telor,98,720,1,2013,?pm=ZeOfyw1JjZQsxD6JYFZoKA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 98,00 Juta","Rp. 720,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 0,00 Juta",2
Bakso Ceker,4,252,1,2013,?pm=kWzq3l+v4gEuk+0em4c5fg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 4,00 Juta","Rp. 252,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",4
Pentolan,"2,5",72,1,2013,?pm=JcC9AvLIlVWkqlGybg28+Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 2,50 Juta","Rp. 72,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 9,00 Juta",4
Pentol,15,108,1,2013,?pm=bPpImMDW19hprApotJALYg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 15,00 Juta","Rp. 108,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 14,00 Juta",5
