Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Penjahit Abadi,Penjahitan,240,33,1,2012,"['_pengusahadetail(""?pm=I2tLj7QrROdFF05BVekfRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Penjahit Abadi"")']"
 Servis Elektronik,Servis,47,120,1,2011,"['_pengusahadetail(""?pm=rkQUtA56N9JtGbHwmuT1Yg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Servis Elektronik"")']"
 Penjahit,Jasa Menjahit,"13,54","123,3",4,2009,"['_pengusahadetail(""?pm=ui66Jd3vduZj7Tx9j35Thw==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Penjahit"")']"
 Azeka Pitoto Studio,Cetak Photo,32,"19,5",2,2011,"['_pengusahadetail(""?pm=rYTLPZXNhADS4zQ2txVoBQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""Azeka Pitoto Studio"")']"
 MARZOAN TAYLOR,PENJAHIT,"13,9","26,7",1,2012,"['_pengusahadetail(""?pm=JUS91VBAWHd3+UU0Hfr5lA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""MARZOAN TAYLOR"")']"
 Ahli Kunci Markoni,Pembuatan Kunci,"30,6",50,1,2014,"['_pengusahadetail(""?pm=sv32t84tB+1psc9isH8nDw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Ahli Kunci Markoni"")']"
 Pangkas Rambut Al-Rasyid,Potong Rambut,"12,5",59,2,2014,"['_pengusahadetail(""?pm=KOfM3HnyatpIXvOXQS5wlA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Pangkas Rambut Al-Rasyid"")']"
 Wisma Kita,Wisma,"158,35",15,1,2014,"['_pengusahadetail(""?pm=WkSIE9QmpU/v1ZMz6UGSYQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Wisma Kita"")']"
 Eka Jaya Plat Motor,Pembuatan Plat,"12,5",60,1,2014,"['_pengusahadetail(""?pm=vR9Hf+9ybcyJNZxNFmdFqg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Eka Jaya Plat Motor"")']"
 Sapulidi Laupe,Sapulidi Laupe,"19,3","5,04",4,2014,"['_pengusahadetail(""?pm=h/UT1SvVMaM1hXxUB+OzXQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Sapulidi Laupe"")']"
 Hidup Baru ,Usaha Pembengkelan ,"118,5","90,4",1,2014,"['_pengusahadetail(""?pm=sz6FYWpZOo0axxVgd4Wf7A==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Hidup Baru "")']"
 Sol Spatu,Sol Sepatu,"1,22","71,76",1,2014,"['_pengusahadetail(""?pm=gDb492w+U/CjmBFT2JtSUA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Sol Spatu"")']"
 Excellent Maintenance Balikpapan,Jasa Service Komputer,"13,55","28,8",5,2014,"['_pengusahadetail(""?pm=wv1+PlYHzkBamGB1mfkFsg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Excellent Maintenance Balikpapan"")']"
 Toko Kaca Berkah,Jasa Pembuatan Etalase,28,120,1,2014,"['_pengusahadetail(""?pm=XMQMtfQnh9OjEjsoId3AMw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Toko Kaca Berkah"")']"
 Penjahit Samudera,Penjahit Dan Fermak Pakaian,208,8,1,2014,"['_pengusahadetail(""?pm=a6NXi+9DpF47UYm7AvmMsQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Penjahit Samudera"")']"
 Lestari Fauna,Pelestarian Fauna,265,270,2,2014,"['_pengusahadetail(""?pm=ZpaIpjAV7gV/wRNr9MA35A==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Lestari Fauna"")']"
 Bengkel Hepi,Bengkel,80,"42,5",3,2014,"['_pengusahadetail(""?pm=yplgZswoXdBj22jPorW41g==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Bengkel Hepi"")']"
 Jasa Jahit Pakaian,Menjahit,202,158,1,2014,"['_pengusahadetail(""?pm=gI33EEjan93t754UPlVvxg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Jasa Jahit Pakaian"")']"
 Pangkas Rambut Karya,Pangkas Rambut,"10,5",72,1,2015,"['_pengusahadetail(""?pm=imApgu2NodW18qaKw005uA==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Pangkas Rambut Karya"")']"
 Bengkel Jai,Tambal Ban,183,20,0,2012,"['_pengusahadetail(""?pm=GdNAhAmFdYxOE/2xlzy+Rw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Jai"")']"
 Warung Erna Wati,Tambal Ban,134,30,0,2012,"['_pengusahadetail(""?pm=7LihOmusTnrIIL89uDzWjA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Warung Erna Wati"")']"
 Bengkel Nuralim,Tambal Ban,93,30,0,2012,"['_pengusahadetail(""?pm=0yTVQwvrPimS3PFPxCgauA==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Bengkel Nuralim"")']"
 RUMAH CUCI HAYATI,LOUNDRY,61,140,2,2011,"['_pengusahadetail(""?pm=r3sAnlKf6mLuxpmlwx1v5A==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""RUMAH CUCI HAYATI"")']"
 Son Tailor,Menjahit Pakaian,135,"7,33",2,2009,"['_pengusahadetail(""?pm=+LDn7T8koHAA71pWaOa6Hg==&mp=2BbfzMJpZb2nANZ3GT30ng=="",""Son Tailor"")']"
 Salon Sumarsen,Salon,"112,5","93,6",4,2012,"['_pengusahadetail(""?pm=6jZiIFKrf/sot/8b6ZnePw==&mp=p1ca+Y2BZCwOZVEqm2oXjA=="",""Salon Sumarsen"")']"
 Tulungangung Electronik,Service Electronik,"16,74",49,1,2014,"['_pengusahadetail(""?pm=cz2HLf4NCDJs7Ke9ELattQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Tulungangung Electronik"")']"
 UD Millian,Jasa-jasa,"423,3",160,4,2011,"['_pengusahadetail(""?pm=9QC9KIQsauETtW4dgps6eQ==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""UD Millian"")']"
 SALON DAHLIA,SALON,"55,5",18,2,2010,"['_pengusahadetail(""?pm=oKTExik1ebI+dV1U3AOJ/w==&mp=JHuIBacQ7Iz+a8xx8lclUA=="",""SALON DAHLIA"")']"
 Sablon Pauzi,Sablon,21,18,1,2015,"['_pengusahadetail(""?pm=O4lwXkj5WHCLDlBgGh3nfg==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Sablon Pauzi"")']"
 Purnama,Pakaian,24,60,1,2015,"['_pengusahadetail(""?pm=6BjsA8x9tZNDq/6R2dncig==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Purnama"")']"
 UD. Latansa,Jasa Perbengkelan,355,2.400,0,2011,"['_pengusahadetail(""?pm=fceXHFfdymD4wvfagGvzzg==&mp=Bjv3m4lcInn46OWc4jy6kQ=="",""UD. Latansa"")']"
 Cucian Motor Danny Hermawan,Pencucian Motor,"9,7",50,3,2014,"['_pengusahadetail(""?pm=W3MnnDtZ/zhHzB2wfZIjMg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Cucian Motor Danny Hermawan"")']"
 Penjahit Paluna,Penjahit,"32,7",54,1,2014,"['_pengusahadetail(""?pm=LFEOlVBmoj6wJTweZYJasA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Penjahit Paluna"")']"
 G.Aitech,Gas Assembling Installation Technique,"1.941,75",70,3,2014,"['_pengusahadetail(""?pm=j8+hcKPpn/KtHvEDJ6ufBQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""G.Aitech"")']"
 Rina Fashion,Fashion,69,25,3,2015,"['_pengusahadetail(""?pm=WFmcwrmToyTKKeBOT3l/cg==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Rina Fashion"")']"
 Unique,Konveksi,573,24,2,2016,"['_pengusahadetail(""?pm=ohxQoSe07toWsmT6g6MH/g==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Unique"")']"
 Kembang Kamonesan,Kerajinan Tangan,180,48,10,2016,"['_pengusahadetail(""?pm=gXu0q3pUB7m+KrC64+S+rw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Kembang Kamonesan"")']"
 Zaenal Konveski,Konveksi,17,48,3,2016,"['_pengusahadetail(""?pm=ZAZ9bVF0kXU6tUzQioi7Gg==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Zaenal Konveski"")']"
 Warkop,Bensin,"60,61","60,48",2,2015,"['_pengusahadetail(""?pm=osUtUBkoFJKU5qBvhrBKsQ==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Warkop"")']"
 Penitipan Motor P. Samino,Penitipan Motor,"10,2",180,1,2016,"['_pengusahadetail(""?pm=10DtbCV1I756BMTokwamdA==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Penitipan Motor P. Samino"")']"
 Penjahit Kurnia,Penjahit,51,72,1,2015,"['_pengusahadetail(""?pm=ofqWwloV06ajNrIZCJrUVg==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Penjahit Kurnia"")']"
 Nurhayati Jne,Paket Barang,75,24,2,2016,"['_pengusahadetail(""?pm=4xTOpHvhTTwVUdZvdtKxaw==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Nurhayati Jne"")']"
 Bengkel Las Bubut,Bengkel,1.415,720,3,2016,"['_pengusahadetail(""?pm=epDnQfmCHXnSXnoqgkQc2w==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Bengkel Las Bubut"")']"
 Kios Pulsa Utami,Perdagangan Pulsa,"16,36","16,8",1,2015,"['_pengusahadetail(""?pm=ovIPTr0IzPNfks/WuV91IQ==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Kios Pulsa Utami"")']"
 Pondok Kelapa,Es Kelapa,"21,08","33,75",1,2015,"['_pengusahadetail(""?pm=DTIxaHoCNhOYxtEjfP6aCQ==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Pondok Kelapa"")']"
 Toko Plastik,Perdagangan,22,15,2,2015,"['_pengusahadetail(""?pm=dMyUzlH3aDUWaxOmlE5d6w==&mp=Q47xnX4Fmgxfelhgew2rrQ=="",""Toko Plastik"")']"
 Sahabat Service,Service Elektronik,121,72,2,2014,"['_pengusahadetail(""?pm=ab34mfxujUB2gyEFORonJQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Sahabat Service"")']"
 Lintas Taylor,Penjahit Pakaian,18,104,1,2014,"['_pengusahadetail(""?pm=s1QnUf+MeP6xP8CFkhSBvw==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Lintas Taylor"")']"
 Penjahit Puput,Penjahit Pakaian,"4,5",54,1,2014,"['_pengusahadetail(""?pm=HEfCDmvB8xrU9hUU3USrkQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Penjahit Puput"")']"
 Pangkas Rapi,Jasa Pangkas Rambut,39,70,1,2014,"['_pengusahadetail(""?pm=BH2KZEGu7Ayvnso0w1cB5g==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Pangkas Rapi"")']"
 Cucian Motor Suroto,Pencucian Motor,"13,2",40,1,2014,"['_pengusahadetail(""?pm=xJIOwVLFJhZKSot8mKNy+g==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Cucian Motor Suroto"")']"
 Penjahit Syaiyah,Penjahit,200,18,1,2014,"['_pengusahadetail(""?pm=bNUNFFsvh4dCJjGEAyFkmA==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Penjahit Syaiyah"")']"
 Rental Hamka,Jasa,"26,2","18,2",1,2018,"['_pengusahadetail(""?pm=wsB8Sr5xY/ClVnT2zcc6GQ==&mp=tFF9KAXBbci/UefzhiAg3g=="",""Rental Hamka"")']"
 Media Tama Service,Service Laptop,"35,5",20,1,2016,"['_pengusahadetail(""?pm=NXEBwkDd3YLe2kQ4JQE77w==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Media Tama Service"")']"
 Penjahit Abadi Psr,Penjahit,355,810,2,2016,"['_pengusahadetail(""?pm=W/RGCDUDVOE52MC7Epbj8A==&mp=5JdvraNzQnzSzI+hC9alEQ=="",""Penjahit Abadi Psr"")']"
 Penjahit Erdian, Penjahit,506,180,3,2014,"['_pengusahadetail(""?pm=6+5rcITVmNfmsNpCmTpx2Q==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Penjahit Erdian"")']"
 Rapy Collection,Menjahit Pakaian,"17,5",162,3,2014,"['_pengusahadetail(""?pm=7r4UPidT46Vd98NkFqgNMQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Rapy Collection"")']"
 Salon Ella,Jasa Salon,21,36,1,2014,"['_pengusahadetail(""?pm=nR0Az0TGIpZ6JpJfW+doZg==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Salon Ella"")']"
 Anza Salon,Jasa Salon,"13,35",18,1,2014,"['_pengusahadetail(""?pm=Kv+UsbvzcVNa5urtEInnEQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Anza Salon"")']"
 Jihan Salon,Salon,"4,8",36,1,2014,"['_pengusahadetail(""?pm=LYlJKzA5i2Qpy4qRfpWLMQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Jihan Salon"")']"
 Penjahit Jasmi,Menjahit,"37,4",9,2,2014,"['_pengusahadetail(""?pm=2ljGy7plSOJ2gCCLMV2ysQ==&mp=xI6rAeQkygTAn3Z625IGLg=="",""Penjahit Jasmi"")']"
