Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick
 Warteg Bahari,Rumah Makan Tegal,"50,08",207,4,2008,"['_pengusahadetail(""?pm=Cs3ZwiDZ+st2vcwhtKtPCw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warteg Bahari"")']"
 Warteg Mas Aji,Rumah Makan Tegal,20,"20,25",4,2008,"['_pengusahadetail(""?pm=XqfTV4jVBqqh2NkCoXP9/A==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warteg Mas Aji"")']"
 Berkah Jaya,Rumah Makan Tegal ,"18,78","26,5",3,2008,"['_pengusahadetail(""?pm=rfUByszFvnVH7trJQTXErw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Berkah Jaya"")']"
 Warteg H Ten,Rumah Makan Tegal,5,"51,66",4,2008,"['_pengusahadetail(""?pm=10A3cH2iyZgUuIbnmkeMiw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warteg H Ten"")']"
 Warteg Sari,Rumah Makan Tegal,"10,2","18,66",2,2008,"['_pengusahadetail(""?pm=WF0c3twZDl+sPLDRN04tPQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warteg Sari"")']"
 Nasi Goreng Trisakti,Dagang Nasi Goreng,"3,5",60,2,2008,"['_pengusahadetail(""?pm=zhvXGb03Cp555xR54DvMvA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Nasi Goreng Trisakti"")']"
 Roti Bakar,Dagang makanan dan minuman,5,"55,75",1,2008,"['_pengusahadetail(""?pm=t+b1MgG0Xh9iAynwJjquqQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Roti Bakar"")']"
 Soto Betawi,Dagang soto Betawi,8,"19,33",1,2008,"['_pengusahadetail(""?pm=35ngWlKvFBZQYIxO0KNOPw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Soto Betawi"")']"
 Pemuda Jaya,Rumah Makan Padang,"12,66",19,1,2008,"['_pengusahadetail(""?pm=CaxlnBr+dEGO74D5e4RuAQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Pemuda Jaya"")']"
 RM Pempek,Dagang Pempek Palembang,19,"38,66",2,2008,"['_pengusahadetail(""?pm=zRkB/0TT2KmrA5bJSv+3DA==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Pempek"")']"
 RM Nasi Goreng,Dagang Nasi Goreng,"10,5","177,6",1,2008,"['_pengusahadetail(""?pm=UM7vGLb00dgCTKCEWc7mKg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""RM Nasi Goreng"")']"
 Warteg,Rumah Makan,20,"122,4",3,2008,"['_pengusahadetail(""?pm=HipBn27nrc7wuCxazLvuEw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Warteg"")']"
 Rumah Makan Padang,Rumah Makan Padang,5,97,2,2008,"['_pengusahadetail(""?pm=F3tUAf2MkLMLQivEUrfZUw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Rumah Makan Padang"")']"
 Sate H Dullah,Dagang Sate Madura,"237,35",39,3,2008,"['_pengusahadetail(""?pm=2Zk4lTWyraMMxLx85TWsxQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Sate H Dullah"")']"
 Sate Madura,Dagang Sate Madura,"64,65","19,95",4,2008,"['_pengusahadetail(""?pm=vD1dgzYWODNP5Sip6PXTIg==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Sate Madura"")']"
 Nasi Bebek Goreng,Dagang Nasi Bebek,"7,45",19,1,2008,"['_pengusahadetail(""?pm=h+nfEo3jRA6iHZah8Ua0SQ==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Nasi Bebek Goreng"")']"
 Soto Ayam Madura,Dagang Soto Ayam,"5,8","148,8",1,2008,"['_pengusahadetail(""?pm=8ovKbZ0RkP6CLl/EjkBHbw==&mp=LhrIHvxx5uWPOvZTrS6CKw=="",""Soto Ayam Madura"")']"
