Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Tambal Ban,633,68,1,2012,?pm=aaYbr2dkkIbo06AMREa4mg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 633,00 Juta","Rp. 68,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 513,00 Juta",6
Laundry,"17,35",75,3,2011,?pm=su8rEiJjtUiMl0l/ExspPw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 17,35 Juta","Rp. 75,00 Juta",10 %/Tahun,"Rp. 9,50 Juta","Rp. 9,00 Juta",5
Penjahit,39,"14,7",0,2010,?pm=Efahlsk2hN+AxObKUkQl8Q==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 39,00 Juta","Rp. 14,70 Juta",15 %/Tahun,"Rp. 10,00 Juta","Rp. 18,00 Juta",3
Penjahit,95,78,2,2010,?pm=NOKK+5WVTcfaoUHFBIf+OQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 95,00 Juta","Rp. 78,00 Juta",15 %/Tahun,"Rp. 7,00 Juta","Rp. 10,00 Juta",4
Pengetikan Dan Foto Copy,16,34,1,2012,?pm=OFHrUL2bxycy/TgMTa3sLA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 16,00 Juta","Rp. 34,00 Juta",15 %/Tahun,"Rp. 0,00 Juta","Rp. 8,00 Juta",5
Vermak Levis,10,26,1,2012,?pm=BpgB4GsWmHzSfTkOj7yfqg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 10,00 Juta","Rp. 26,00 Juta",10 %/Tahun,"Rp. 2,70 Juta","Rp. 60,00 Juta",7
Penjahit Pakaian,"176,75",533,2,2010,?pm=hq8tDtwCGwdYHS0J2TXiNw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,2,Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 176,75 Juta","Rp. 533,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 42,00 Juta",7
Jasa Laundry,"50,67",60,3,2011,?pm=Uj3+ZsKa3SfZMPXnUPKF8Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 50,67 Juta","Rp. 60,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 40,00 Juta",5
Menjahit Pakaian,413,78,1,2012,?pm=eG6O2gs9fts43SGWztT+8Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 413,00 Juta","Rp. 78,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 400,00 Juta",5
Pangkas Rambut,820,3.776,3,2010,?pm=FxmTTUBmuxOk2w9vC7Zrug==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 820,00 Juta","Rp. 3.776,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 138,00 Juta",4
Penjahit Pakaian,20,108,0,2009,?pm=NgVOr8D7kcfofnrvIRrPbQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya,Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   75,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   25,00 %",Sedang,"Rp. 20,00 Juta","Rp. 108,00 Juta",25 %/Tahun,"Rp. 8,00 Juta","Rp. 10,00 Juta",3
Cuci Cetak Foto,169,600,2,2010,?pm=96joZI+4NpSQQ637JmFAgg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 169,00 Juta","Rp. 600,00 Juta",20 %/Tahun,"Rp. 9,00 Juta","Rp. 103,00 Juta",7
Laundry,42,72,2,2013,?pm=NTUKTjKlttix9Zrf6qielg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 42,00 Juta","Rp. 72,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 5,00 Juta",4
Penjahit Pakaian,167,60,1,2012,?pm=CWp1H877s2x0eKXzUTnWWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 167,00 Juta","Rp. 60,00 Juta",25 %/Tahun,"Rp. 10,00 Juta","Rp. 160,00 Juta",5
Penjahit Pakaian,34,30,1,2012,?pm=DPRW91tTXB5wiGQhCcx0Pg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 34,00 Juta","Rp. 30,00 Juta",25 %/Tahun,"Rp. 5,00 Juta","Rp. 30,00 Juta",4
Salon,80,38,0,2010,?pm=bbXxKiGLhWVX5uBZKWt6Fw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 80,00 Juta","Rp. 38,00 Juta",5 %/Tahun,"Rp. 4,00 Juta","Rp. 80,00 Juta",5
Penjahit,116,72,1,2010,?pm=Y1Yyn/p0jExaF82dseh5tg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 116,00 Juta","Rp. 72,00 Juta",10 %/Tahun,"Rp. 9,00 Juta","Rp. 70,00 Juta",5
Loundry,64,12,1,2013,?pm=Rn8hVIeG+z9DDCEQqAF/Jw==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 64,00 Juta","Rp. 12,00 Juta",7 %/Tahun,"Rp. 10,00 Juta","Rp. 180,00 Juta",4
Tambal Ban Stefan,"58,3",182,3,2013,?pm=ehjQFylEgAezHEOpYKhH5Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 58,30 Juta","Rp. 182,00 Juta",10 %/Tahun,"Rp. 8,00 Juta","Rp. 80,00 Juta",5
Jasa Vermak Levis,"14,5","46,5",2,2013,?pm=0XjOVLu7Ce8NKb3GUgsi0A==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 14,50 Juta","Rp. 46,50 Juta",10 %/Tahun,"Rp. 8,00 Juta","Rp. 100,00 Juta",5
Variasi Kendaraan,"82,5",63,2,2013,?pm=EYpht7+7REZN5FETAm0+qg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   20,00 %",Rendah,"Rp. 82,50 Juta","Rp. 63,00 Juta",10 %/Tahun,"Rp. 8,00 Juta","Rp. 490,00 Juta",6
Jasa Salon,23,44,2,2013,?pm=zsghybbA7poFqt52UzG5Og==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 23,00 Juta","Rp. 44,00 Juta",10 %/Tahun,"Rp. 6,00 Juta","Rp. 199,00 Juta",6
PEMBUAT BATAKO,1.220,4.800,1,2013,?pm=PqnYr0806aMp1JAcAexOeg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,"Rp. 1.220,00 Juta","Rp. 4.800,00 Juta",5 %/Tahun,"Rp. 2,00 Juta","Rp. 10,00 Juta",3
Penjahit,"146,4",54,2,2011,?pm=Q/ljT7WITZrKCL76JXz1Gw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 146,40 Juta","Rp. 54,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 137,00 Juta",6
Penjahit Pria,"223,5","172,8",2,2011,?pm=TUpUIPDOtxgF71ieSGSi+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 223,50 Juta","Rp. 172,80 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 210,00 Juta",6
Salon Kecantikan,"192,25","101,39",3,2011,?pm=41ZfN1XkXqgHPICYWFtdLA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 192,25 Juta","Rp. 101,39 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 185,00 Juta",5
Penjahit Pakaian,"14,75",49,2,2012,?pm=s3QZ9avNuAe5xzM1hzYwwA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   37,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   63,00 %",Sedang,"Rp. 14,75 Juta","Rp. 49,00 Juta",20 %/Tahun,"Rp. 5,00 Juta","Rp. 83,00 Juta",6
Bordir,7,46,2,2012,?pm=qDxjlg38E2fkv+de/wccSQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   5,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   95,00 %",Sedang,"Rp. 7,00 Juta","Rp. 46,00 Juta",30 %/Tahun,"Rp. 10,00 Juta","Rp. 158,00 Juta",6
Penjahit ,13,80,3,2012,?pm=QtelmgFKKQT6k7VcJ/pRRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 13,00 Juta","Rp. 80,00 Juta",20 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",5
Penjahit,"9,8","61,5",4,2012,?pm=ozXA4GswcflGOALwn60btw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,4,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 9,80 Juta","Rp. 61,50 Juta",25 %/Tahun,"Rp. 5,00 Juta","Rp. 6,00 Juta",5
Penjahit Pakaian,41,154,6,2012,?pm=ekC6SoGxN1agMpK9aRDaww==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,6,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 41,00 Juta","Rp. 154,00 Juta",25 %/Tahun,"Rp. 0,00 Juta","Rp. 250,00 Juta",6
Laundri Pakaian,84,328,4,2012,?pm=CPyRsyE09jjah1wQof6nXA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 84,00 Juta","Rp. 328,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 23,00 Juta",6
Steam Motor,"35,17","40,5",2,2013,?pm=R9LzW1sePVw32LbE7DeYYw==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 35,17 Juta","Rp. 40,50 Juta",10 %/Tahun,"Rp. 8,00 Juta","Rp. 80,00 Juta",5
Jahit Pakaian,"151,92",72,2,2009,?pm=g0QTy1mNW8dzGEzmLKMbOw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 151,92 Juta","Rp. 72,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 125,00 Juta",5
Studio Photo Digital,"87,28",27,2,2011,?pm=X8WRz4h77KPWe5lqDHRqwQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 87,28 Juta","Rp. 27,00 Juta",10 %/Tahun,"Rp. 9,00 Juta","Rp. 80,00 Juta",6
Jasa Salon dan Asesoris,25,36,1,2008,?pm=/ELrgVCMLyLKCsYBzkbMSQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 25,00 Juta","Rp. 36,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 3,00 Juta",3
Tailor,38,118,3,2012,?pm=IxonlFNyHfWV2wjtbNzCuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,3,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 38,00 Juta","Rp. 118,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 23,00 Juta",6
Penjahitan,240,33,1,2012,?pm=I2tLj7QrROdFF05BVekfRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 240,00 Juta","Rp. 33,00 Juta",20 %/Tahun,"Rp. 0,00 Juta","Rp. 32,00 Juta",4
Servis,47,120,1,2011,?pm=rkQUtA56N9JtGbHwmuT1Yg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,,,,"   0,00 %","   0,00 %",,"Rp. 0,00 Juta","Rp. 0,00 Juta", %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",
Jasa Menjahit,"13,54","123,3",4,2009,?pm=ui66Jd3vduZj7Tx9j35Thw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya,Perorangan,4,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Tinggi,"Rp. 13,54 Juta","Rp. 123,30 Juta",50 %/Tahun,"Rp. 10,00 Juta","Rp. 20,00 Juta",6
Cetak Photo,32,"19,5",2,2011,?pm=rYTLPZXNhADS4zQ2txVoBQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 32,00 Juta","Rp. 19,50 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 16,00 Juta",4
PENJAHIT,"13,9","26,7",1,2012,?pm=JUS91VBAWHd3+UU0Hfr5lA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   5,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   95,00 %",Rendah,"Rp. 13,90 Juta","Rp. 26,70 Juta",20 %/Tahun,"Rp. 8,00 Juta","Rp. 40,00 Juta",4
Pembuatan Kunci,"30,6",50,1,2014,?pm=sv32t84tB+1psc9isH8nDw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 30,60 Juta","Rp. 50,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 4,00 Juta",3
Potong Rambut,"12,5",59,2,2014,?pm=KOfM3HnyatpIXvOXQS5wlA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 12,50 Juta","Rp. 59,00 Juta",- %/Tahun,"Rp. 7,00 Juta","Rp. 1,00 Juta",3
Wisma,"158,35",15,1,2014,?pm=WkSIE9QmpU/v1ZMz6UGSYQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Rendah,"Rp. 158,35 Juta","Rp. 15,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 50,00 Juta",3
Pembuatan Plat,"12,5",60,1,2014,?pm=vR9Hf+9ybcyJNZxNFmdFqg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Sedang,"Rp. 12,50 Juta","Rp. 60,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 1,00 Juta",2
Sapulidi Laupe,"19,3","5,04",4,2014,?pm=h/UT1SvVMaM1hXxUB+OzXQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 19,30 Juta","Rp. 5,04 Juta",- %/Tahun,"Rp. 2,50 Juta","Rp. 15,00 Juta",4
Usaha Pembengkelan ,"118,5","90,4",1,2014,?pm=sz6FYWpZOo0axxVgd4Wf7A==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 118,50 Juta","Rp. 90,40 Juta",- %/Tahun,"Rp. 0,00 Juta","Rp. 107,00 Juta",7
